UID,Source_Name,ra,dec,Vsys_in_km_per_s,Lum_2020,objClass_sym,objClass_int,lum_from_2018_paper,Dist_from_2018_paper,Name_in_2018_paper_db
1,NGC_23,2.4733330000000002,25.92306,4565,180,?,0,180.0,65.2,NGC23
2,NGC_17,2.777083,-12.10722,5931,<10,?,0,9.0,84.7,NGC17
3,J0011-0054,2.938333,-0.9086110999999999,14384,527,?,0,527.0,205.5,2MASXJ00114518-0054303
4,J0027+4544,6.855417,45.740829999999995,12003,507,?,0,507.0,171.5,2MASXJ00272528+4544279
5,IC10,5.074584,59.308609999999994,-350,0.02,SF,1,0.02,0.7,IC10
6,M31,10.68333,41.26917,-300,?,SF,1,0.0,0.0,
7,NGC_235A,10.72,-23.54111,6664,?,?,0,41.0,95.2,NGC235A
8,NGC_253,11.88792,-25.28833,241,0.2,SF?,1,0.2,3.4,NGC253
9,Mrk_348,12.19625,31.956940000000003,4507,400,J,2,400.0,64.4,Mrk348
10,SMC,13.1875,-72.82861,158,?,SF,1,0.0,0.0,
11,NGC_291,13.374579999999998,-8.767777,5705,74,?,0,74.0,81.5,NGC291
12,ESO_013-G012,16.75917,-80.30778000000001,5047,500,?,0,500.0,72.1,ESO013-G012
13,J0109-0332,17.437920000000002,-3.542444,16369,?,?,0,1138.0,233.8,2MASXJ01094510-0332329
14,Mrk_1,19.03,33.08944,4780,50,D?,4,50.0,68.3,Mrk1
15,NGC_520,21.14613,3.792417,2281,1,SF?,1,1.0,32.4,NGC520
16,J0126-0417,21.50692,-4.2989440000000005,5639,112,D?,4,112.0,80.4,2MASXJ01260163-0417564
17,M33,23.31875,30.88056,-180,0.3,SF,1,0.3,0.8,M33
18,NGC_591,23.38,35.66833,4547,25,D?,4,25.0,65.0,NGC591
19,NGC_613,23.57583,-29.418609999999997,1475,20,?,0,20.0,21.1,NGC613
20,IC_0184,29.96333,-6.840278,5287,?,?,0,20.0,75.5,IC184
21,J0214-0016,33.52458,-0.27694440000000003,11205,74,?,0,74.0,160.1,2MASXJ02140591-0016371
22,Mrk_1029,34.26487,5.292056,9076,682,D?,4,15.0,57.4,Mrk1089
23,NGC_1052,40.27,-8.255834,1470,125,J,2,125.0,21.0,NGC1052
24,NGC_1068,40.669579999999996,-0.01333333,1137,160,D+J,3,160.0,16.2,NGC1068
25,NGC_1106,42.66879,41.6715,4337,8,?,0,8.0,60.1,NGC1106
26,J0253-0014,43.373329999999996,-0.2348889,8622,4,?,0,4.0,124.2,2MASXJ02532956-0014052
27,Mrk_1066,44.994170000000004,36.82056,3605,32,?,0,32.0,51.5,Mrk1066
28,NGC_1194,45.95462,-1.1037219999999999,4076,112,D,5,112.0,58.2,NGC1194
29,NGC_1320,51.20292,-3.042222,2663,43,D?,4,43.0,38.0,NGC1320
30,J0336-0750,54.192330000000005,-7.839889,11719,183,?,0,183.0,167.5,2MASXJ03364614-0750236
31,NGC_1386,54.19333,-36.00056,868,125,D+?,4,125.0,12.4,NGC1386
32,J0338+0114,54.543330000000005,1.238333,11926,?,?,0,0.0,0.0,
33,NGC_1402,54.8775,-18.52695,4297,47,?,0,125.0,21.0,NGC1052
34,IC_342,56.692919999999994,68.09611,40,0.01,SF,1,0.01,3.3,IC342
35,IRAS_03450+0055,56.917080000000006,1.087222,9294,67,?,0,227.0,170.4,IRAS03355+0104
36,J0350-0127,57.501459999999994,-1.466028,12376,3870,D?,4,0.0,0.0,
37,J0414+0534,63.65738,5.578444,z=2.64,10000,?,0,0.0,0.0,
38,J0437+2456,69.26529000000001,24.93522,4835,178,D,5,0.0,0.0,
39,J0437+6637,69.28442,66.62841999999999,3770,20,D?,4,20.0,53.9,2MASXJ04370825+6637424
40,IRAS+04385-0828,70.22904,-8.372833,4527,43,?,0,43.0,64.7,IRAS04385-0828
41,UGC_3157,71.624,18.46092,4619,?,?,0,85.0,66.0,UGC3157
42,UGC_3193,73.21958000000001,3.056667,4454,270,?,0,270.0,63.6,UGC3193
43,Mrk_1089,75.40733,-4.257889,4019,15,?,0,15.0,57.4,Mrk1089
44,CGCG468-002_Ned01,77.08204,17.36336,5248,35,?,0,35.0,75.0,CGCG468-002
45,UGC+3255,77.45917,7.483333,5669,16,?,0,16.0,81.0,UGC3255
46,LMC,80.89166999999999,-69.75610999999999,278,?,SF,1,0.0,0.0,
47,UGCA_116,88.92763000000001,3.3921669999999997,789,3,SF?,1,3.0,11.3,UGCA116
48,Mrk_3,93.90125,71.0375,4050,10,?,0,10.0,57.9,Mrk3
49,NGC_2146,94.6525,78.35778,900,1,SF,1,1.0,12.8,NGC2146
50,VII_Zw 073,97.60667,63.67805,11899,?,?,0,137.0,177.0,VIIZw073
51,NGC_2273,102.5362,60.84583000000001,1840,32,D,5,32.0,26.3,NGC2273
52,ESO558-G009,106.0876,-21.58867,7674,766,D,5,766.0,109.6,ESO558-G009
53,UGC_3789,109.8817,59.355830000000005,3243,370,D,5,370.0,47.5,UGC3789
54,NGC_2410,113.7592,32.82222,4681,14,?,0,14.0,64.2,NGC2410
55,Mrk_78,115.6738,65.17694,11137,32,?,0,32.0,159.1,Mrk78
56,IC_485,120.0824,26.70144,8338,1060,D?,4,1060.0,119.1,IC485
57,Mrk_1210,121.0242,5.113889,4046,80,D?,4,80.0,57.8,Mrk1210
58,J0804+3607,121.1292,36.12167,z=0.66,23000,?,0,0.0,0.0,
59,He_2-10,129.0638,-26.40833,?,0.7,SF,1,0.7,12.5,He2-10
60,J0836+3327,129.095,33.46083,14810,800,D?,4,800.0,211.6,2MASXJ08362280+3327383
61,NGC 2639,130.9088,50.20555,3336,25,?,0,25.0,47.7,NGC2639
62,J0847-0022,131.9487,-0.3809444,15275,?,?,0,2210.0,218.2,2MASXJ08474769-0022514
63,CGCG120-039,132.3087,23.38028,7684,?,?,0,154.0,109.8,CGCG120-039
64,J0905+0328,136.3755,3.4730000000000003,8424,?,?,0,132.0,120.3,2MASXJ09053008+0328232
65,NGC_2781,137.8647,-14.81683,2053,14,?,0,14.0,29.3,NGC2781
66,J0912+2304,138.1933,23.07425,10889,143,?,0,143.0,155.6,2MASXJ09124641+2304273
67,NGC_2782,138.5213,40.113609999999994,2562,13,SF,1,13.0,36.6,NGC2782
68,NGC_2785,138.8142,40.91753,2622,?,?,0,14.0,29.3,NGC2781
69,NGC_2824,139.7592,26.27,2760,500,?,0,500.0,39.4,NGC2824
70,SBS0927+493,142.7779,49.07972,10240,?,?,0,280.0,146.3,SBS0927+493
71,UGC_5101,143.965,61.35305,11809,1900,?,0,1900.0,168.6,UGC5101
72,Mrk_1419,145.1517,3.576944,4932,400,D,5,400.0,70.5,Mrk1419
73,NGC_2979,145.7858,-10.38333,2720,125,?,0,125.0,38.9,NGC2979
74,NGC_2989,146.3575,-18.37667,4172,40,?,0,40.0,59.2,NGC2989
75,M_82,148.9675,69.67973,200,1,SF,1,200.0,3.7,M82
76,NGC_3081,149.8729,-22.82639,2391,17,?,0,17.0,33.8,NGC3081
77,NGC_3079,150.4908,55.679719999999996,1125,500,?,0,500.0,16.1,NGC3079
78,J1011-1926,152.9608,-19.445529999999998,8058,371,?,0,371.0,115.1,2MASXJ10115058-1926436
79,NGC_3160,153.4795,38.84283,6920,46,?,0,46.0,97.9,NGC3160
80,IC_2560,154.0779,-33.56389,2925,100,D,5,100.0,41.4,IC2560
81,J1020-0010,155.2481,-0.1760833,16779,?,?,0,65.0,239.7,2MASXJ10205956-0010342
82,NGC_3256,156.9637,-43.903890000000004,2804,10,SF?,1,10.0,40.1,NGC3256
83,J1028+1046,157.0119,10.77533,13424,1135,?,0,0.0,0.0,
84,UGC_5713,157.912,25.983970000000003,6312,237,?,0,237.0,90.2,UGC5713
85,Mrk_34,158.5358,60.03111,15140,1000,?,0,400.0,64.4,Mrk348
86,NGC_3359,161.6533,63.22361,1014,0.7,?,0,0.7,14.5,NGC3359
87,NGC_3393,162.0975,-25.16195,3750,320,D,5,320.0,53.6,NGC3393
88,UGC_6093,165.1998,10.72814,10828,770,D,5,770.0,154.7,UGC6093
89,J1103-0052,165.9098,-0.8690278,8584,26,?,0,26.0,122.6,2MASXJ11033836-0052081
90,J1109+2837,167.3881,28.627640000000003,11422,36,?,0,36.0,162.3,2MASXJ11093314+2837393
91,NGC_3556,167.8792,55.67417,699,1,?,0,1.0,10.0,NGC3556
92,NGC_3620,169.0196,-76.21639,1680,4,SF?,1,4.0,24.0,NGC3620
93,CGCG_185-028,169.2505,32.597390000000004,10455,550,?,0,550.0,149.4,CGCG185-028
94,NGC_3614,169.5888,45.74822,2333,3,?,0,3.0,33.3,NGC3614
95,Arp_299,172.1329,58.5625,3121,125,?,0,125.0,44.1,Arp299
96,NGC_3735,173.9888,70.53584000000001,2696,20,?,0,20.0,38.5,NGC3735
97,CGCG_068-013,174.5334,11.19639,10707,92,?,0,92.0,152.9,CGCG068-013
98,NGC_3783,174.7571,-37.738609999999994,2917,22,?,0,22.0,41.7,NGC3783
99,CGCG_268-089,177.4404,50.52694,7924,149,?,0,149.0,113.2,CGCG268-089
100,IC_750,179.7175,42.72253,704,?,?,0,0.0,0.0,
101,NGC_4038/39,180.4792,-18.88278,?,8,SF,1,8.0,23.5,NGC4038/39
102,J1202+3519,180.5193,35.321690000000004,10201,520,?,0,520.0,146.0,2MASXJ12020465+3519173
103,UGC_7016,180.5999,14.843639999999999,7271,22,?,0,22.0,103.9,UGC7016
104,NGC_4051,180.79,44.53139,700,2,?,0,2.0,10.0,NGC4051
105,NGC_4151,182.6358,39.40583,995,0.6,?,0,0.6,14.2,NGC4151
106,NGC_4194,183.5396,54.52694,2501,12,?,0,12.0,35.7,NGC4194
107,NGC_4214,183.9133,36.32778,?,0.03,SF,1,0.03,4.2,NGC4214
108,NGC_4253,184.6105,29.812859999999997,3876,9,?,0,9.0,55.4,NGC4253
109,NGC_4258,184.7396,47.30389,448,80,D,5,80.0,7.2,NGC4258
110,NGC_4261,184.8467,5.825278,2238,?,?,0,40.0,32.0,NGC4261
111,NGC_4293,185.3038,18.3825,890,1,?,0,1.0,12.7,NGC4293
112,NGC_4388,186.4446,12.66222,2524,12,D,5,12.0,36.1,NGC4388
113,NGC_4527,188.5354,2.6538049999999997,1736,4,?,0,4.0,24.8,NGC4527
114,NGC_4633,190.6558,14.357220000000002,291,0.06,?,0,0.06,22.6,NGC4633
115,J1255-0804,193.9994,-8.076,4003,226,?,0,266.0,57.3,2MASXJ12555984-0804329
116,ESO_269-G012,194.1687,-46.926109999999994,4950,1000,D?,4,1000.0,71.6,ESO269-G012
117,NGC_4922,195.355,29.31389,7056,200,?,0,200.0,100.8,NGC4922B
118,NGC_4945,196.3646,-49.46833,560,50,D+,4,50.0,8.0,NGC4945
119,NGC_4968,196.7749,-23.67703,2957,53,?,0,53.0,42.2,NGC4968
120,NGC_5077,199.8821,-12.656939999999999,2806,?,?,0,71.0,40.1,NGC5077
121,NGC_5128,201.365,-43.01917,547,?,?,0,1.0,7.8,NGC5128
122,M_51,202.4696,47.19528,463,0.6,?,0,0.6,7.8,M51
123,NGC_5256,204.5717,48.27555,8419,32,?,0,32.0,120.3,NGC5256
124,NGC_5253,204.9825,-31.638890000000004,?,0.02,SF,1,1.0,3.5,NGC5253
125,J1346+5228,206.67,52.47691999999999,8763,379,D?,4,0.0,0.0,
126,NGC_5347,208.3242,33.490829999999995,2335,32,?,0,32.0,33.4,NGC5347
127,J1355+0553,208.8996,5.884639,11762,86,?,0,86.0,168.0,2MASXJ13553592+0553050
128,MCG+11-17-010,209.1196,64.62861,9456,34,?,0,34.0,137.0,MCG+11-17-010
129,J1356+6937,209.1975,69.62,10522,?,?,0,397.0,150.3,2MASXJ13564736+6937117
130,CGCG_074-064,210.7686,8.9475,6886,?,?,0,0.0,0.0,
131,ESO_446-G018,212.1595,-29.572029999999998,4771,183,?,0,183.0,68.2,ESO446-G018
132,UGC_9077,212.7312,39.77214,5630,?,?,0,17.0,80.4,UGC9077
133,NGC_5495,213.0971,-27.10806,6737,600,D,5,600.0,96.2,NGC5495
134,Circinus,213.2888,-65.33915999999999,450,20,D+,4,20.0,4.2,Circinus
135,NGC_5506,213.3117,-3.2075,1853,50,?,0,50.0,26.5,NGC5506
136,MCG-02-37-004,216.5513,-11.90472,12439,?,?,0,329.0,177.7,MCG-02-37-004
137,NGC_5643,218.17,-44.17472,1199,25,?,0,25.0,17.1,NGC5643
138,NGC_5691,219.4721,-0.3988889,1870,4,SF,1,4.0,26.7,NGC5691
139,NGC_5728,220.5996,-17.25306,2788,80,?,0,80.0,40.0,NGC5728
140,CGCG_164-019,221.4033,27.03472,8963,30,?,0,30.0,128.0,CGCG164-019
141,NGC_5765b,222.7146,5.114444000000001,8333,?,D,5,2277.0,119.0,NGC5765
142,UGC_9618B,224.2529,24.6175,10094,400,D?,4,400.0,144.2,UGC9618
143,UGC_9639,224.65,44.88361,10802,444,D?,4,444.0,154.3,UGC9639
144,NGC_5793,224.8529,-16.69333,3491,200,?,0,200.0,49.9,NGC5793
145,J1505+0809,226.3247,8.153611,11760,?,?,0,0.0,0.0,
146,CGCG165-035,228.6658,26.594170000000002,9649,?,?,0,550.0,149.4,CGCG185-028
147,J1520+5253,230.082,52.899080000000005,11166,44,?,0,44.0,159.2,2MASXJ15201964+5253560
148,Arp_220,233.7383,23.50306,5434,?,?,0,0.0,0.0,
149,UGC_9954,234.8196,24.455,10310,30,?,0,30.0,147.4,UGC9954
150,IRAS_15480-0344,237.6729,-3.8883330000000003,9084,211,?,0,0.0,0.0,
151,J1600+1545,240.0743,15.75653,4996,?,?,0,0.0,0.0,
152,J1607+0106,241.7664,1.108139,8216,6,?,0,6.0,116.7,2MASXJ16070391+0106296
153,J1630+3923,247.6358,39.384170000000005,9161,?,?,0,0.0,0.0,
154,CGCG_168-018,247.6705,30.48878,11015,192,?,0,192.0,157.4,CGCG168-018
155,IGR_J16385-2057,249.6288,-20.92333,8064,10,?,0,0.0,0.0,
156,NGC_6240,253.2454,2.400833,7465,40,?,0,40.0,104.8,NGC6240
157,NGC_6264,254.3171,27.84972,10177,2100,D,5,2100.0,145.4,NGC6264
158,J1658+3923,254.5646,39.39139,10290,672,?,0,0.0,0.0,
159,J1710+1344,257.5754,13.735,9448,69,?,0,69.0,135.0,2MASXJ17101815+1344058
160,NGC_6323,258.325,43.78222,7772,500,D,5,500.0,111.0,NGC6323
161,NGC_6300,259.2479,-62.82056,1110,3,?,0,3.0,15.8,NGC6300
162,CGCG_252-044,260.1233,50.377140000000004,7360,?,?,0,110.0,105.1,CGCG252-044
163,CGCG_170-022,260.7357,31.34197,4543,?,?,0,550.0,149.4,CGCG185-028
164,J1754+3253,268.6225,32.88722,7798,?,?,0,0.0,0.0,
165,ESO_103-G35,279.5846,-65.42834,3985,400,?,0,400.0,56.9,ESO103-G35
166,J1939-0124,294.9121,-1.409167,6188,160,D?,4,160.0,88.4,2MASXJ19393889-0124328
167,3C403,298.0658,2.5066669999999998,17690,2000,J,2,2000.0,252.7,3C403
168,NGC_6926,308.2754,-2.0275,5970,500,?,0,500.0,85.3,NGC6926
169,J2057+1707,314.3496,17.1275,10822,?,?,0,0.0,0.0,
170,UGC_11685,317.2975,-1.7985830000000003,5872,80,?,0,80.0,83.9,UGC11685
171,IC_1361,317.8712,5.054333,3962,35,?,0,35.0,56.6,IC1361
172,J2144+1534,326.2387,15.58056,9138,189,?,0,189.0,130.5,2MASXJ21445731+1534503
173,J2201-3746,330.3213,-37.77333,9661,?,?,0,0.0,0.0,
174,TXS_2226-184,337.3021,-18.17972,7495,6300,?,0,6300.0,107.1,TXS2226-184
175,UGC_12149,340.2817,32.16989,7317,?,?,0,0.0,0.0,
176,NGC_7479,346.2361,12.32289,2381,19,?,0,19.0,34.0,NGC7479
177,IC_1481,349.8546,5.906111,6120,320,?,0,320.0,87.4,IC1481
178,MCG+05-55-041,354.3185,31.800720000000002,9356,93,?,0,93.0,133.7,MCG+05-55-041
179,NGC_7738,356.0083,0.5166667,6762,468,?,0,20.0,38.5,NGC3735
180,CGCG498-038,358.9342,30.212220000000002,9240,268,?,0,268.0,132.0,CGCG498-038
