count2019,Source_Name,RA_(J2000),Dec_(J2000),Vsys_(km/s),Lum,Class
1,NGC_23,2.473333,25.92306,4565,180,?
2,NGC_17,2.777083,-12.10722,5931,<10,?
3,J0011-0054,2.938333,-0.9086111,14384,527,?
4,J0027+4544,6.855417,45.74083,12003,507,?
5,IC10,5.074584,59.30861,-350,0.02,SF
6,M31,10.68333,41.26917,-300,?,SF
7,NGC_235A,10.72,-23.54111,6664,?,?
8,NGC_253,11.88792,-25.28833,241,0.2,SF?
9,Mrk_348,12.19625,31.95694,4507,400,J
10,SMC,13.1875,-72.82861,158,?,SF
11,NGC_291,13.37458,-8.767777,5705,74,?
12,ESO_013-G012,16.75917,-80.30778,5047,500,?
13,J0109-0332,17.43792,-3.542444,16369,?,?
14,Mrk_1,19.03,33.08944,4780,50,D?
15,NGC_520,21.14613,3.792417,2281,1,SF?
16,J0126-0417,21.50692,-4.298944,5639,112,D?
17,M33,23.31875,30.88056,-180,0.3,SF
18,NGC_591,23.38,35.66833,4547,25,D?
19,NGC_613,23.57583,-29.41861,1475,20,?
20,IC_0184,29.96333,-6.840278,5287,?,?
21,J0214-0016,33.52458,-0.2769444,11205,74,?
22,Mrk_1029,34.26487,5.292056,9076,682,D?
23,NGC_1052,40.27,-8.255834,1470,125,J
24,NGC_1068,40.66958,-0.01333333,1137,160,D+J
25,NGC_1106,42.66879,41.6715,4337,8,?
26,J0253-0014,43.37333,-0.2348889,8622,4,?
27,Mrk_1066,44.99417,36.82056,3605,32,?
28,NGC_1194,45.95462,-1.103722,4076,112,D
29,NGC_1320,51.20292,-3.042222,2663,43,D?
30,J0336-0750,54.19233,-7.839889,11719,183,?
31,NGC_1386,54.19333,-36.00056,868,125,D+?
32,J0338+0114,54.54333,1.238333,11926,?,?
33,NGC_1402,54.8775,-18.52695,4297,47,?
34,IC_342,56.69292,68.09611,40,0.01,SF
35,IRAS_03450+0055,56.91708,1.087222,9294,67,?
36,J0350-0127,57.50146,-1.466028,12376,3870,D?
37,J0414+0534,63.65738,5.578444,z=2.64,10000,?
38,J0437+2456,69.26529,24.93522,4835,178,D
39,J0437+6637,69.28442,66.62842,3770,20,D?
40,IRAS+04385-0828,70.22904,-8.372833,4527,43,?
41,UGC_3157,71.624,18.46092,4619,?,?
42,UGC_3193,73.21958,3.056667,4454,270,?
43,Mrk_1089,75.40733,-4.257889,4019,15,?
44,CGCG468-002_Ned01,77.08204,17.36336,5248,35,?
45,UGC+3255,77.45917,7.483333,5669,16,?
46,LMC,80.89167,-69.75611,278,?,SF
47,UGCA_116,88.92763,3.392167,789,3,SF?
48,Mrk_3,93.90125,71.0375,4050,10,?
49,NGC_2146,94.6525,78.35778,900,1,SF
50,VII_Zw 073,97.60667,63.67805,11899,?,?
51,NGC_2273,102.5362,60.84583,1840,32,D
52,ESO558-G009,106.0876,-21.58867,7674,766,D
53,UGC_3789,109.8817,59.35583,3243,370,D
54,NGC_2410,113.7592,32.82222,4681,14,?
55,Mrk_78,115.6738,65.17694,11137,32,?
56,IC_485,120.0824,26.70144,8338,1060,D?
57,Mrk_1210,121.0242,5.113889,4046,80,D?
58,J0804+3607,121.1292,36.12167,z=0.66,23000,?
59,He_2-10,129.0638,-26.40833,?,0.7,SF
60,J0836+3327,129.095,33.46083,14810,800,D?
61,NGC 2639,130.9088,50.20555,3336,25,?
62,J0847-0022,131.9487,-0.3809444,15275,?,?
63,CGCG120-039,132.3087,23.38028,7684,?,?
64,J0905+0328,136.3755,3.473,8424,?,?
65,NGC_2781,137.8647,-14.81683,2053,14,?
66,J0912+2304,138.1933,23.07425,10889,143,?
67,NGC_2782,138.5213,40.11361,2562,13,SF
68,NGC_2785,138.8142,40.91753,2622,?,?
69,NGC_2824,139.7592,26.27,2760,500,?
70,SBS0927+493,142.7779,49.07972,10240,?,?
71,UGC_5101,143.965,61.35305,11809,1900,?
72,Mrk_1419,145.1517,3.576944,4932,400,D
73,NGC_2979,145.7858,-10.38333,2720,125,?
74,NGC_2989,146.3575,-18.37667,4172,40,?
75,M_82,148.9675,69.67973,200,1,SF
76,NGC_3081,149.8729,-22.82639,2391,17,?
77,NGC_3079,150.4908,55.67972,1125,500,?
78,J1011-1926,152.9608,-19.44553,8058,371,?
79,NGC_3160,153.4795,38.84283,6920,46,?
80,IC_2560,154.0779,-33.56389,2925,100,D
81,J1020-0010,155.2481,-0.1760833,16779,?,?
82,NGC_3256,156.9637,-43.90389,2804,10,SF?
83,J1028+1046,157.0119,10.77533,13424,1135,?
84,UGC_5713,157.912,25.98397,6312,237,?
85,Mrk_34,158.5358,60.03111,15140,1000,?
86,NGC_3359,161.6533,63.22361,1014,0.7,?
87,NGC_3393,162.0975,-25.16195,3750,320,D
88,UGC_6093,165.1998,10.72814,10828,770,D
89,J1103-0052,165.9098,-0.8690278,8584,26,?
90,J1109+2837,167.3881,28.62764,11422,36,?
91,NGC_3556,167.8792,55.67417,699,1,?
92,NGC_3620,169.0196,-76.21639,1680,4,SF?
93,CGCG_185-028,169.2505,32.59739,10455,550,?
94,NGC_3614,169.5888,45.74822,2333,3,?
95,Arp_299,172.1329,58.5625,3121,125,?
96,NGC_3735,173.9888,70.53584,2696,20,?
97,CGCG_068-013,174.5334,11.19639,10707,92,?
98,NGC_3783,174.7571,-37.73861,2917,22,?
99,CGCG_268-089,177.4404,50.52694,7924,149,?
100,IC_750,179.7175,42.72253,704,?,?
101,NGC_4038/39,180.4792,-18.88278,?,8,SF
102,J1202+3519,180.5193,35.32169,10201,520,?
103,UGC_7016,180.5999,14.84364,7271,22,?
104,NGC_4051,180.79,44.53139,700,2,?
105,NGC_4151,182.6358,39.40583,995,0.6,?
106,NGC_4194,183.5396,54.52694,2501,12,?
107,NGC_4214,183.9133,36.32778,?,0.03,SF
108,NGC_4253,184.6105,29.81286,3876,9,?
109,NGC_4258,184.7396,47.30389,448,80,D
110,NGC_4261,184.8467,5.825278,2238,?,?
111,NGC_4293,185.3038,18.3825,890,1,?
112,NGC_4388,186.4446,12.66222,2524,12,D
113,NGC_4527,188.5354,2.653805,1736,4,?
114,NGC_4633,190.6558,14.35722,291,0.06,?
115,J1255-0804,193.9994,-8.076,4003,226,?
116,ESO_269-G012,194.1687,-46.92611,4950,1000,D?
117,NGC_4922,195.355,29.31389,7056,200,?
118,NGC_4945,196.3646,-49.46833,560,50,D+
119,NGC_4968,196.7749,-23.67703,2957,53,?
120,NGC_5077,199.8821,-12.65694,2806,?,?
121,NGC_5128,201.365,-43.01917,547,?,?
122,M_51,202.4696,47.19528,463,0.6,?
123,NGC_5256,204.5717,48.27555,8419,32,?
124,NGC_5253,204.9825,-31.63889,?,0.02,SF
125,J1346+5228,206.67,52.47692,8763,379,D?
126,NGC_5347,208.3242,33.49083,2335,32,?
127,J1355+0553,208.8996,5.884639,11762,86,?
128,MCG+11-17-010,209.1196,64.62861,9456,34,?
129,J1356+6937,209.1975,69.62,10522,?,?
130,CGCG_074-064,210.7686,8.9475,6886,?,?
131,ESO_446-G018,212.1595,-29.57203,4771,183,?
132,UGC_9077,212.7312,39.77214,5630,?,?
133,NGC_5495,213.0971,-27.10806,6737,600,D
134,Circinus,213.2888,-65.33916,450,20,D+
135,NGC_5506,213.3117,-3.2075,1853,50,?
136,MCG-02-37-004,216.5513,-11.90472,12439,?,?
137,NGC_5643,218.17,-44.17472,1199,25,?
138,NGC_5691,219.4721,-0.3988889,1870,4,SF
139,NGC_5728,220.5996,-17.25306,2788,80,?
140,CGCG_164-019,221.4033,27.03472,8963,30,?
141,NGC_5765b,222.7146,5.114444,8333,?,D
142,UGC_9618B,224.2529,24.6175,10094,400,D?
143,UGC_9639,224.65,44.88361,10802,444,D?
144,NGC_5793,224.8529,-16.69333,3491,200,?
145,J1505+0809,226.3247,8.153611,11760,?,?
146,CGCG165-035,228.6658,26.59417,9649,?,?
147,J1520+5253,230.082,52.89908,11166,44,?
148,Arp_220,233.7383,23.50306,5434,?,?
149,UGC_9954,234.8196,24.455,10310,30,?
150,IRAS_15480-0344,237.6729,-3.888333,9084,211,?
151,J1600+1545,240.0743,15.75653,4996,?,?
152,J1607+0106,241.7664,1.108139,8216,6,?
153,J1630+3923,247.6358,39.38417,9161,?,?
154,CGCG_168-018,247.6705,30.48878,11015,192,?
155,IGR_J16385-2057,249.6288,-20.92333,8064,10,?
156,NGC_6240,253.2454,2.400833,7465,40,?
157,NGC_6264,254.3171,27.84972,10177,2100,D
158,J1658+3923,254.5646,39.39139,10290,672,?
159,J1710+1344,257.5754,13.735,9448,69,?
160,NGC_6323,258.325,43.78222,7772,500,D
161,NGC_6300,259.2479,-62.82056,1110,3,?
162,CGCG_252-044,260.1233,50.37714,7360,?,?
163,CGCG_170-022,260.7357,31.34197,4543,?,?
164,J1754+3253,268.6225,32.88722,7798,?,?
165,ESO_103-G35,279.5846,-65.42834,3985,400,?
166,J1939-0124,294.9121,-1.409167,6188,160,D?
167,3C403,298.0658,2.506667,17690,2000,J
168,NGC_6926,308.2754,-2.0275,5970,500,?
169,J2057+1707,314.3496,17.1275,10822,?,?
170,UGC_11685,317.2975,-1.798583,5872,80,?
171,IC_1361,317.8712,5.054333,3962,35,?
172,J2144+1534,326.2387,15.58056,9138,189,?
173,J2201-3746,330.3213,-37.77333,9661,?,?
174,TXS_2226-184,337.3021,-18.17972,7495,6300,?
175,UGC_12149,340.2817,32.16989,7317,?,?
176,NGC_7479,346.2361,12.32289,2381,19,?
177,IC_1481,349.8546,5.906111,6120,320,?
178,MCG+05-55-041,354.3185,31.80072,9356,93,?
179,NGC_7738,356.0083,0.5166667,6762,468,?
180,CGCG498-038,358.9342,30.21222,9240,268,?